item_id,structure_class,structure_name,purpose,measurement_type,process_module,location_pattern,probe_pad_group,must_correlate_to,owner,consumer,release_criterion,notes
TL01,pcm_device,NMOS_VT_MONITOR,Track threshold and drive behavior,parametric,FEOL,scribe_top_row,PCM_A,"Vt,Idsat,leakage drift vs product devices",Process Integration,"Yield Engineering; Silicon Test","Within foundry PCM plan and taped out in approved keepout",Representative NFET monitor
TL02,pcm_device,PMOS_VT_MONITOR,Track PMOS threshold and leakage,parametric,FEOL,scribe_top_row,PCM_A,"Vt,Idsat,leakage drift vs product devices",Process Integration,"Yield Engineering; Silicon Test","Within foundry PCM plan and taped out in approved keepout",Representative PFET monitor
TL03,contact_chain,CONTACT_CHAIN_M0_CA,Track contact resistance and opens,parametric,MOL,scribe_left_col,PCM_B,"Contact resistance vs path-delay and yield fallout",Process Integration,"Yield Engineering; Physical","Probeable and isolated from seal ring",Include enough segment length for sensitivity
TL04,via_chain,VIA_CHAIN_V1_V2,Track via integrity,parametric,BEOL,scribe_left_col,PCM_B,"Via integrity vs resistance drift and BEOL reliability",Process Integration,"Yield Engineering; Physical","Meets metal density and DRC rules",Use product-representative via stack
TL05,rc_monitor,M1_COMB_SERP,Track wire R and coupling C,parametric,BEOL,scribe_bottom_row,PCM_C,"Interconnect RC vs timing/power correlation",Physical,"Physical; Yield Engineering","Matches intended metal stack and density rules",Representative for lower-metal behavior
TL06,litho_monitor,CD_OVERLAY_MONITOR,Track CD and overlay process stability,metrology,Lithography,scribe_corners,METRO_A,"CD/overlay shift vs product critical layers",Process Integration,"Metrology; Yield Engineering","Foundry-approved monitor placement",Usually foundry-defined
TL07,timing_monitor,RING_OSC_MONITOR,Track speed/process shifts,electrical,FEOL_BEOL,scribe_bottom_row,PCM_D,"FO4 or path-delay trend vs product timing",Physical,"Architecture; Silicon Test","Correlation plan defined before tapeout",Keep simple and probe-feasible
TL08,sram_monitor,SRAM_MARGIN_MONITOR,Track bitcell stability and leakage,electrical,SRAM,scribe_right_col,PCM_E,"Read/write stability vs macro behavior",Memory Design,"Silicon Test; Yield Engineering","Area justified and correlation plan approved",Optional if supported by process and area
TL09,reliability_monitor,EM_STRESS_MONITOR,Track early electromigration risk,reliability,BEOL,scribe_right_col,REL_A,"EM margin vs product current-carrying layers",Reliability,"Quality; Yield Engineering","Stress conditions and readout method defined",Use only if consumer exists
TL10,reliability_monitor,TDDB_MONITOR,Track dielectric breakdown sensitivity,reliability,BEOL,scribe_right_col,REL_A,"Dielectric reliability vs product voltage stress",Reliability,"Quality; Yield Engineering","Readout path and sample plan approved",May be sampled rather than every wafer
TL11,probe_infra,PARAM_PAD_FANOUT,Provide probe access to parametric structures,probe_access,WaferSort,scribe_axes,PROBE_STD,"Probe-card compatibility and pad survivability",Silicon Test,"Silicon Test; Operations","Pad pitch and orientation reviewed with probing assumptions",Pads should align to probe strategy
TL12,dicing_protection,SEAL_RING_INTERFACE,Protect die edge and maintain scribe safety,mechanical,Assembly,DIE_PERIPHERY,NONE,"Crack stop and dicing robustness",Physical,"Physical; Package","Foundry seal-ring rules met and reviewed at G4",Not electrically measured but tapeout-critical

